Age,Sex,JOB,HOUSING,Savings account$Checking account,Credit amount,Duration,Purpose,risk
33,male,skilled,OWN,little/moderate,1245,18,radio/TV,1
26,female,skilled,RENT,little/little,3114,18,furniture/equipment,1
24,male,skilled,OWN,quite rich/moderate,2569,39,car,0
25,male,skilled,OWN,little/rich,5152,24,radio/TV,0
39,male,unskilled,OWN,moderate/moderate,1037,12,business,0
44,male,skilled,OWN,little/little,1478,15,furniture/equipment,0
23,female,unskilled,OWN,little/moderate,3573,12,radio/TV,0
26,male,skilled,OWN,little/moderate,1201,24,car,0
57,female,skilled,RENT,rich/little,3622,30,furniture/equipment,0
30,female,skilled,OWN,rich/moderate,960,15,furniture/equipment,0
44,male,skilled,OWN,quite rich/moderate,1163,12,car,0
47,male,highly skilled,OWN,little/moderate,1209,6,car,1
52,male,skilled,OWN,little/little,3077,12,radio/TV,0
62,female,skilled,FREE,little/little,3757,24,car,0
35,male,unskilled,RENT,moderate/moderate,1418,10,car,0
26,male,skilled,RENT,little/little,3518,6,car,0
26,male,skilled,OWN,little/little,1934,12,radio/TV,0
42,female,highly skilled,FREE,little/moderate,8318,27,business,1
27,female,skilled,OWN,moderate/moderate,1237,6,radio/TV,0
38,male,skilled,OWN,little/moderate,368,6,radio/TV,0
39,male,unskilled,RENT,little/little,2122,12,car,0
20,male,skilled,OWN,little/little,2996,24,furniture/equipment,1
29,male,highly skilled,RENT,moderate/moderate,9034,36,furniture/equipment,1
40,male,skilled,OWN,little/little,1585,24,furniture/equipment,0
32,male,unskilled,OWN,little/moderate,1301,18,radio/TV,0
28,male,skilled,OWN,moderate/rich,1323,6,car,0
27,female,skilled,OWN,little/little,3123,24,car,1
42,male,skilled,FREE,little/little,5493,36,car,0
49,male,skilled,OWN,moderate/rich,1126,9,radio/TV,0
38,male,skilled,OWN,moderate/moderate,1216,24,radio/TV,1
24,female,skilled,RENT,little/little,1207,24,car,1
27,male,unskilled,OWN,little/moderate,1309,10,car,1
36,male,skilled,OWN,quite rich/rich,2360,15,car,0
34,male,highly skilled,OWN,moderate/moderate,6850,15,car,1
28,male,skilled,OWN,little/little,1413,24,radio/TV,0
45,male,highly skilled,OWN,moderate/moderate,8588,39,car,0
26,male,skilled,OWN,little/little,759,12,car,1
32,male,highly skilled,FREE,little/little,4686,36,car,0
26,male,skilled,RENT,little/rich,2687,15,business,0
20,male,skilled,RENT,little/moderate,585,12,radio/TV,0
54,male,skilled,OWN,little/moderate,2255,24,car,0
37,female,skilled,OWN,little/little,609,6,car,0
40,male,unskilled,OWN,little/little,1361,6,car,0
23,female,skilled,RENT,little/little,7127,36,furniture/equipment,1
43,male,skilled,OWN,moderate/little,1203,6,car,0
36,male,skilled,FREE,little/moderate,700,6,radio/TV,0
44,male,skilled,FREE,little/little,5507,24,repairs,0
24,female,skilled,OWN,little/little,3190,18,radio/TV,1
53,male,skilled,FREE,little/little,7119,48,furniture/equipment,1
23,female,skilled,OWN,moderate/moderate,3488,24,car,0
26,female,unskilled,OWN,little/moderate,1113,18,radio/TV,0
30,male,skilled,OWN,little/moderate,7966,26,car,0
31,female,skilled,OWN,moderate/moderate,1532,15,education,0
42,male,unskilled,OWN,little/little,1503,4,radio/TV,0
31,male,skilled,RENT,little/little,2302,36,radio/TV,1
41,male,unskilled,OWN,little/little,662,6,car,0
32,male,skilled,OWN,little/moderate,2273,36,education,0
28,female,skilled,RENT,moderate/moderate,2631,15,car,1
41,male,skilled,RENT,little/little,1503,12,car,0
26,male,skilled,OWN,moderate/moderate,1311,24,radio/TV,0
25,male,skilled,OWN,little/moderate,3105,24,radio/TV,0
33,male,skilled,RENT,little/rich,2319,21,education,1
75,female,highly skilled,OWN,little/little,1374,6,car,0
37,female,skilled,OWN,little/moderate,3612,18,furniture/equipment,0
42,male,highly skilled,FREE,little/little,7763,48,car,1
45,female,unskilled,OWN,little/rich,3049,18,furniture/equipment,0
23,male,skilled,RENT,little/moderate,1534,12,radio/TV,1
60,male,skilled,FREE,little/little,2032,24,car,0
31,male,skilled,OWN,little/little,6350,30,furniture/equipment,1
34,male,unskilled,OWN,little/rich,2864,18,furniture/equipment,1
61,male,unskilled,OWN,little/little,1255,12,car,0
43,male,skilled,FREE,little/little,1333,24,car,1
37,female,skilled,OWN,little/little,2022,24,car,0
32,male,skilled,OWN,little/little,1552,24,radio/TV,0
24,female,unskilled,OWN,little/little,626,12,radio/TV,1
35,male,skilled,FREE,little/moderate,8858,48,car,0
23,female,skilled,OWN,little/moderate,996,12,repairs,0
45,male,unskilled,OWN,quite rich/moderate,1750,6,radio/TV,0
34,male,skilled,OWN,little/little,6999,48,radio/TV,1
27,male,skilled,OWN,moderate/moderate,1995,12,car,0
67,female,highly skilled,OWN,little/moderate,1199,9,education,0
22,male,skilled,OWN,little/moderate,1331,12,radio/TV,1
28,female,skilled,OWN,moderate/moderate,2278,18,car,1
29,female,skilled,OWN,little/moderate,5003,21,car,1
27,male,skilled,OWN,little/little,3552,24,furniture/equipment,1
31,male,unskilled,OWN,little/moderate,1928,18,furniture/equipment,1
49,male,skilled,FREE,little/little,2964,24,car,0
24,male,unskilled,RENT,little/little,1546,24,radio/TV,1
29,female,skilled,OWN,little/rich,683,6,radio/TV,0
37,male,skilled,FREE,little/moderate,12389,36,car,1
37,male,highly skilled,OWN,little/moderate,4712,24,business,0
23,female,skilled,RENT,moderate/moderate,1553,24,radio/TV,0
36,male,skilled,OWN,little/little,1372,12,car,1
34,male,skilled,OWN,rich/moderate,2578,24,radio/TV,0
41,male,skilled,OWN,little/moderate,3979,48,radio/TV,0
31,female,skilled,OWN,little/little,6758,48,radio/TV,1
23,female,unskilled,RENT,little/little,3234,24,furniture/equipment,1
38,male,skilled,OWN,little/little,5954,30,radio/TV,0
26,female,highly skilled,RENT,little/moderate,5433,24,car,0
22,female,unskilled,OWN,little/little,806,15,business,0
27,male,unskilled,OWN,little/moderate,1082,9,radio/TV,0
24,female,skilled,OWN,little/little,2788,15,furniture/equipment,0
27,female,skilled,OWN,little/moderate,2930,12,radio/TV,0
33,female,skilled,OWN,little/moderate,1927,24,education,0
27,male,skilled,OWN,little/moderate,2820,36,car,1
27,male,unskilled,OWN,little/little,937,24,education,0
30,male,skilled,OWN,little/moderate,1056,18,car,1
49,male,unskilled,OWN,little/moderate,3124,12,car,0
26,female,skilled,RENT,little/little,1388,9,furniture/equipment,0
33,male,unskilled,RENT,little/moderate,2384,36,repairs,1
52,female,highly skilled,FREE,little/moderate,2133,12,car,0
20,female,skilled,RENT,little/little,2039,18,furniture/equipment,1
36,male,skilled,RENT,little/little,2799,9,car,0
21,male,unskilled,OWN,little/little,1289,12,furniture/equipment,0
47,male,unskilled,OWN,little/little,1217,18,domestic appliances,1
60,male,skilled,OWN,little/little,2246,12,furniture/equipment,1
58,female,unskilled,OWN,little/little,385,12,radio/TV,0
42,female,skilled,RENT,little/moderate,1965,24,car,0
36,female,unskilled,OWN,rich/moderate,1572,21,business,0
20,female,unskilled,RENT,little/moderate,2718,24,car,1
40,male,highly skilled,OWN,little/little,1358,24,vacation/others,1
32,female,unskilled,OWN,moderate/moderate,931,6,car,1
23,female,skilled,RENT,little/little,1442,24,car,1
36,male,unskilled,OWN,little/moderate,4241,24,business,1
31,male,skilled,OWN,little/little,2775,18,car,1
32,male,skilled,FREE,little/little,3863,24,business,0
45,female,skilled,OWN,little/moderate,2329,7,radio/TV,0
30,female,skilled,OWN,little/moderate,918,9,furniture/equipment,1
34,female,unskilled,FREE,little/moderate,1837,24,education,1
28,female,highly skilled,OWN,little/little,3349,36,furniture/equipment,1
23,female,skilled,OWN,little/rich,1275,10,furniture/equipment,0
22,male,skilled,OWN,quite rich/little,2828,24,furniture/equipment,0
74,male,highly skilled,OWN,little/little,4526,24,business,0
50,female,skilled,FREE,moderate/moderate,2671,36,radio/TV,1
33,male,skilled,OWN,little/little,2051,18,radio/TV,0
45,male,skilled,FREE,little/moderate,1300,15,car,0
22,female,skilled,OWN,moderate/little,741,12,domestic appliances,1
48,female,unskilled,FREE,moderate/rich,1240,10,car,1
29,female,skilled,OWN,rich/little,3357,21,radio/TV,0
22,female,skilled,RENT,little/little,3632,24,car,0
22,female,skilled,OWN,little/little,1808,18,furniture/equipment,1
48,male,highly skilled,OWN,little/moderate,12204,48,business,0
27,male,highly skilled,FREE,little/moderate,9157,60,radio/TV,0
37,male,skilled,RENT,little/little,3676,6,car,0
21,female,skilled,RENT,moderate/moderate,3441,30,furniture/equipment,1
49,male,unskilled,OWN,little/little,640,12,car,0
27,male,skilled,OWN,little/moderate,3652,21,business,0
32,male,skilled,OWN,little/little,1530,18,car,1
38,male,skilled,OWN,little/moderate,3914,48,business,1
22,female,skilled,RENT,little/little,1858,12,furniture/equipment,0
65,male,skilled,FREE,little/little,2600,18,radio/TV,1
35,male,skilled,OWN,little/moderate,1979,15,radio/TV,0
41,male,skilled,OWN,little/rich,2116,6,furniture/equipment,0
29,male,skilled,OWN,moderate/moderate,1437,9,car,1
36,male,skilled,OWN,quite rich/moderate,4042,42,furniture/equipment,0
64,male,unskilled,OWN,little/moderate,3832,9,education,0
28,female,skilled,OWN,little/little,3660,24,radio/TV,0
44,male,skilled,OWN,little/little,1553,18,furniture/equipment,1
23,male,skilled,OWN,little/moderate,1444,15,radio/TV,0
19,female,skilled,RENT,little/little,1980,9,furniture/equipment,1
25,female,unskilled,OWN,little/moderate,1355,24,car,1
47,male,skilled,OWN,little/little,1393,12,education,0
28,female,skilled,OWN,quite rich/moderate,1376,24,radio/TV,0
21,male,skilled,OWN,little/little,15653,60,radio/TV,0
34,female,skilled,OWN,little/little,1493,12,radio/TV,0
26,male,skilled,OWN,little/little,4370,42,radio/TV,1
27,female,unskilled,OWN,little/little,750,18,education,1
38,male,unskilled,OWN,little/moderate,1308,15,repairs,0
40,male,highly skilled,OWN,moderate/moderate,4623,15,education,1
33,male,skilled,OWN,little/little,1851,24,radio/TV,0
32,male,highly skilled,OWN,little/little,1880,18,radio/TV,0
27,male,skilled,RENT,little/moderate,7980,36,business,1
32,male,skilled,OWN,little/little,4583,30,furniture/equipment,0
26,female,skilled,OWN,quite rich/moderate,1386,12,car,1
38,male,skilled,FREE,little/rich,947,24,car,1
40,male,unskilled,RENT,little/little,684,12,education,1
50,male,highly skilled,FREE,little/little,7476,48,education,0
37,male,unskilled,OWN,little/moderate,1922,12,furniture/equipment,1
45,male,skilled,OWN,little/little,2303,24,car,1
42,male,highly skilled,OWN,moderate/moderate,8086,36,car,1
35,male,skilled,OWN,little/little,2346,24,car,0
22,male,skilled,FREE,little/little,3973,14,car,0
41,male,unskilled,OWN,little/moderate,888,12,car,1
37,male,skilled,OWN,little/moderate,10222,48,radio/TV,0
28,female,skilled,OWN,little/moderate,4221,30,business,0
41,male,skilled,OWN,little/moderate,6361,18,furniture/equipment,0
23,male,skilled,RENT,little/rich,1297,12,radio/TV,0
23,male,skilled,OWN,little/little,900,12,car,1
50,male,skilled,OWN,little/little,2241,21,furniture/equipment,0
35,male,highly skilled,OWN,little/moderate,1050,6,furniture/equipment,0
50,female,unskilled,OWN,little/rich,1047,6,education,0
27,male,highly skilled,OWN,little/little,6314,24,vacation/others,0
34,male,skilled,OWN,rich/moderate,3496,30,furniture/equipment,0
27,female,skilled,OWN,little/little,3609,48,business,0
43,male,skilled,RENT,little/little,4843,12,car,1
47,male,skilled,OWN,little/rich,3017,30,radio/TV,0
27,male,unskilled,OWN,moderate/moderate,4139,24,business,0
31,male,skilled,OWN,moderate/moderate,5742,36,business,0
42,male,highly skilled,OWN,little/little,10366,60,car,0
24,male,skilled,OWN,quite rich/moderate,2080,6,car,0
41,male,unskilled,OWN,quite rich/moderate,2580,21,business,1
26,female,highly skilled,RENT,little/little,4530,30,radio/TV,0
33,male,skilled,OWN,little/little,5150,24,furniture/equipment,0
24,male,skilled,OWN,moderate/moderate,5595,72,radio/TV,1
64,male,unskilled,RENT,little/little,2384,24,radio/TV,0
26,female,skilled,OWN,little/little,1453,18,radio/TV,0
56,female,skilled,OWN,little/little,1538,6,education,0
37,male,skilled,FREE,little/moderate,2279,12,radio/TV,0
33,male,skilled,OWN,little/little,1478,15,radio/TV,0
47,male,skilled,FREE,little/little,5103,24,radio/TV,0
31,male,unskilled,OWN,moderate/moderate,9857,36,business,0
34,male,skilled,FREE,little/moderate,6527,60,car,0
27,male,skilled,OWN,little/rich,1347,10,radio/TV,0
30,male,skilled,FREE,moderate/moderate,2862,36,car,0
35,male,skilled,OWN,moderate/moderate,2753,9,radio/TV,0
31,male,skilled,OWN,rich/little,3651,12,car,0
25,male,skilled,OWN,little/little,975,15,furniture/equipment,0
25,female,unskilled,OWN,moderate/moderate,2631,15,repairs,0
29,male,skilled,OWN,moderate/moderate,2896,24,radio/TV,0
44,male,unskilled,OWN,little/little,4716,6,car,0
28,male,skilled,OWN,little/little,2284,24,radio/TV,0
50,male,skilled,RENT,quite rich/moderate,1236,6,car,0
29,male,skilled,OWN,little/moderate,1103,12,radio/TV,0
38,female,unskilled,OWN,little/little,926,12,car,0
24,male,skilled,OWN,little/little,1800,18,radio/TV,0
40,male,highly skilled,RENT,little/rich,1905,15,education,0
29,female,unskilled,RENT,quite rich/moderate,1123,12,furniture/equipment,1
46,male,skilled,FREE,little/little,6331,48,car,1
47,female,skilled,FREE,moderate/rich,1377,24,radio/TV,0
41,male,skilled,OWN,moderate/moderate,2503,30,business,0
32,female,skilled,OWN,little/moderate,2528,27,business,0
35,female,skilled,FREE,quite rich/moderate,5324,15,car,0
24,male,skilled,OWN,moderate/moderate,6560,48,car,1
25,female,skilled,RENT,little/moderate,2969,12,furniture/equipment,1
25,female,skilled,OWN,little/moderate,1206,9,radio/TV,0
37,male,unskilled,OWN,little/moderate,2118,9,radio/TV,0
32,male,highly skilled,OWN,quite rich/moderate,629,18,radio/TV,0
35,female,skilled,FREE,little/little,1198,6,education,1
46,male,highly skilled,OWN,little/moderate,2476,21,car,0
25,male,unskilled,OWN,little/little,1138,9,radio/TV,0
27,male,highly skilled,OWN,little/moderate,14027,60,car,1
63,male,skilled,OWN,little/moderate,7596,30,car,0
40,male,skilled,OWN,little/moderate,3077,30,radio/TV,0
32,male,highly skilled,FREE,little/little,1505,18,radio/TV,0
31,male,skilled,OWN,little/rich,3148,24,radio/TV,0
31,male,skilled,OWN,moderate/moderate,6148,20,car,0
34,male,highly skilled,OWN,little/rich,1337,9,radio/TV,1
24,female,skilled,RENT,rich/moderate,433,6,education,1
24,female,unskilled,OWN,little/little,1228,12,car,1
66,female,unskilled,OWN,quite rich/moderate,790,9,radio/TV,0
21,female,skilled,RENT,little/little,2570,27,car,1
41,female,unskilled,OWN,rich/moderate,250,6,car,0
47,male,unskilled,OWN,quite rich/moderate,1316,15,radio/TV,0
25,female,skilled,RENT,little/little,1882,18,radio/TV,1
59,female,skilled,RENT,little/moderate,6416,48,business,1
36,male,skilled,OWN,rich/rich,1275,24,business,0
33,male,skilled,OWN,little/moderate,6403,24,radio/TV,0
21,male,unskilled,RENT,little/little,1987,24,radio/TV,1
44,female,unskilled,OWN,little/moderate,760,8,radio/TV,0
28,female,skilled,RENT,rich/moderate,2603,24,car,0
37,female,skilled,OWN,little/little,3380,4,car,0
29,female,unskilled,OWN,little/moderate,3990,36,domestic appliances,0
23,female,highly skilled,RENT,little/moderate,11560,24,car,1
35,male,unskilled,OWN,moderate/little,4380,18,car,0
45,male,highly skilled,OWN,little/little,6761,6,car,0
26,female,unskilled,RENT,moderate/moderate,4280,30,business,1
32,male,skilled,OWN,moderate/little,2325,24,car,0
23,male,unskilled,OWN,little/moderate,1048,10,radio/TV,0
41,male,skilled,OWN,little/moderate,3160,21,radio/TV,0
22,male,skilled,OWN,quite rich/little,2483,24,furniture/equipment,0
30,male,highly skilled,OWN,little/little,14179,39,furniture/equipment,0
28,male,unskilled,OWN,little/little,1797,13,business,0
23,female,skilled,RENT,little/little,2511,15,car,0
37,female,unskilled,OWN,little/little,1274,12,car,1
26,male,skilled,OWN,little/moderate,5248,21,car,0
33,male,skilled,OWN,little/little,3029,15,car,0
49,female,skilled,OWN,little/little,428,6,furniture/equipment,0
23,female,unskilled,OWN,little/little,976,18,car,1
23,female,unskilled,RENT,moderate/moderate,841,12,business,0
25,female,skilled,OWN,little/little,5771,30,radio/TV,0
55,male,skilled,FREE,rich/moderate,1555,12,repairs,1
32,female,skilled,RENT,little/little,1285,24,car,1
74,male,unskilled,OWN,little/rich,1299,6,car,0
39,male,skilled,FREE,little/rich,1271,15,radio/TV,1
31,male,skilled,OWN,little/little,1393,24,car,0
35,male,skilled,OWN,little/little,691,12,car,1
59,female,skilled,OWN,little/moderate,5045,15,car,0
24,female,skilled,RENT,little/little,2124,18,furniture/equipment,1
24,male,unskilled,OWN,little/little,2214,12,radio/TV,0
30,male,highly skilled,FREE,little/moderate,12680,21,car,1
27,male,skilled,OWN,moderate/moderate,2463,24,car,0
40,male,unskilled,OWN,little/moderate,1155,12,radio/TV,0
31,male,unskilled,OWN,little/little,3108,30,furniture/equipment,1
31,female,skilled,RENT,little/moderate,2901,10,car,0
28,male,skilled,RENT,little/moderate,3617,12,furniture/equipment,0
63,male,unskilled,OWN,little/little,1655,12,radio/TV,0
26,female,skilled,RENT,little/little,2812,24,car,0
25,female,highly skilled,OWN,little/little,8065,36,education,1
36,male,highly skilled,OWN,little/little,3275,21,car,0
52,male,skilled,OWN,moderate/moderate,2223,24,radio/TV,0
66,male,unskilled,FREE,quite rich/rich,1480,12,car,0
25,female,skilled,RENT,little/little,1371,24,car,1
37,male,skilled,OWN,little/little,3535,36,car,0
25,female,skilled,OWN,little/little,3509,18,radio/TV,0
38,male,highly skilled,OWN,rich/moderate,5711,36,car,0
67,female,skilled,OWN,little/moderate,3872,18,repairs,0
25,male,skilled,OWN,little/moderate,4933,39,radio/TV,1
60,male,skilled,OWN,rich/moderate,1940,24,car,0
31,male,unskilled,OWN,little/moderate,1410,12,education,0
23,female,unskilled,OWN,moderate/moderate,836,12,car,1
60,male,highly skilled,OWN,little/moderate,6468,20,car,0
35,male,unskilled,OWN,rich/moderate,1941,18,business,0
40,male,skilled,OWN,quite rich/moderate,2675,22,radio/TV,0
38,male,skilled,OWN,little/moderate,2751,48,car,0
50,male,skilled,FREE,little/moderate,6224,48,education,1
27,male,skilled,OWN,little/little,5998,40,education,1
39,female,skilled,OWN,little/moderate,1188,21,business,1
41,male,highly skilled,OWN,little/moderate,6313,24,car,0
27,male,skilled,OWN,little/moderate,1221,6,furniture/equipment,0
51,male,skilled,FREE,little/rich,2892,24,furniture/equipment,0
32,male,skilled,RENT,quite rich/moderate,3062,24,furniture/equipment,0
22,female,skilled,RENT,moderate/moderate,2301,9,furniture/equipment,0
51,male,skilled,FREE,little/little,7511,18,car,1
22,female,unskilled,RENT,little/little,1258,12,furniture/equipment,0
54,male,skilled,OWN,little/moderate,717,24,car,0
35,male,unskilled,OWN,little/moderate,1549,9,car,0
54,male,skilled,FREE,little/little,1597,24,education,0
48,female,unskilled,RENT,little/moderate,1795,18,radio/TV,0
24,female,skilled,OWN,little/little,4272,20,furniture/equipment,0
35,male,skilled,OWN,little/moderate,976,12,radio/TV,0
24,female,unskilled,RENT,little/moderate,7472,12,car,0
24,male,skilled,OWN,little/little,9271,36,car,1
26,male,unskilled,OWN,little/moderate,590,6,radio/TV,0
65,male,skilled,OWN,little/moderate,930,12,radio/TV,0
55,male,highly skilled,FREE,little/moderate,9283,42,car,0
26,female,unskilled,RENT,little/moderate,1778,15,car,1
26,male,skilled,OWN,little/moderate,907,8,business,0
28,male,unskilled,OWN,little/moderate,484,6,radio/TV,0
24,male,skilled,OWN,little/little,9629,36,car,1
54,male,skilled,OWN,little/little,3051,48,domestic appliances,1
46,male,skilled,FREE,little/little,3931,48,car,1
54,female,skilled,RENT,little/moderate,7432,36,car,0
62,male,skilled,OWN,quite rich/moderate,1338,6,domestic appliances,0
24,female,skilled,RENT,little/little,1554,6,radio/TV,0
43,male,highly skilled,OWN,little/little,15857,36,vacation/others,0
26,male,skilled,OWN,little/little,1345,18,radio/TV,1
27,male,skilled,OWN,little/little,1101,12,car,0
24,male,skilled,OWN,little/rich,3016,12,radio/TV,0
41,male,skilled,OWN,little/little,2712,36,furniture/equipment,1
47,male,unskilled,OWN,little/little,731,8,car,0
35,male,highly skilled,OWN,little/little,3780,18,furniture/equipment,0
30,male,skilled,OWN,little/little,1602,21,car,0
33,female,skilled,RENT,little/little,3966,18,car,1
36,male,skilled,OWN,little/little,4165,18,business,1
47,male,skilled,FREE,little/little,8335,36,car,1
38,male,skilled,FREE,little/moderate,6681,48,business,0
44,male,skilled,OWN,quite rich/moderate,2375,24,business,0
23,female,skilled,RENT,little/little,1216,18,car,1
29,male,skilled,RENT,little/little,11816,45,business,1
42,female,skilled,OWN,little/moderate,5084,24,radio/TV,0
25,female,unskilled,OWN,little/rich,2327,15,radio/TV,1
48,male,skilled,OWN,little/little,1082,12,car,1
21,female,skilled,OWN,little/moderate,886,12,radio/TV,0
23,female,unskilled,RENT,little/little,601,4,furniture/equipment,0
63,male,skilled,OWN,little/little,2957,24,car,0
46,male,skilled,OWN,little/little,2611,24,radio/TV,0
29,male,skilled,OWN,little/little,5179,36,furniture/equipment,1
28,male,unskilled,OWN,little/little,2993,21,car,0
23,female,skilled,OWN,little/little,1943,18,repairs,1
50,male,skilled,OWN,little/little,1559,24,business,0
47,male,skilled,OWN,little/little,3422,18,furniture/equipment,0
35,male,skilled,OWN,little/moderate,3976,21,furniture/equipment,0
68,male,skilled,RENT,little/moderate,6761,18,car,1
28,male,skilled,OWN,little/little,1249,24,car,0
59,male,skilled,OWN,little/little,1364,9,radio/TV,0
57,male,unskilled,OWN,little/little,709,12,radio/TV,1
33,male,skilled,RENT,little/little,2235,20,car,1
43,male,skilled,OWN,little/moderate,4042,24,car,0
35,male,skilled,FREE,little/little,1471,15,radio/TV,0
32,male,unskilled,FREE,little/little,1442,18,car,1
45,male,skilled,OWN,little/little,10875,36,car,0
33,male,skilled,OWN,moderate/moderate,1474,24,car,0
40,female,skilled,OWN,little/moderate,894,10,education,0
28,male,skilled,FREE,little/little,3343,15,furniture/equipment,0
29,female,skilled,OWN,little/little,3959,15,car,1
26,male,skilled,RENT,moderate/moderate,3577,9,car,0
27,male,skilled,OWN,rich/moderate,5804,24,car,0
28,male,skilled,OWN,little/little,2169,18,business,1
35,female,skilled,OWN,little/little,2439,24,radio/TV,1
32,male,unskilled,OWN,rich/moderate,4526,27,furniture/equipment,0
25,male,unskilled,RENT,little/little,2210,10,furniture/equipment,1
20,female,skilled,RENT,quite rich/moderate,2221,15,furniture/equipment,0
27,female,skilled,OWN,little/little,2389,18,radio/TV,0
42,male,skilled,OWN,little/little,3331,12,furniture/equipment,0
37,male,skilled,OWN,little/moderate,7409,36,business,0
24,female,skilled,RENT,little/little,652,12,furniture/equipment,0
40,female,skilled,OWN,quite rich/moderate,7678,36,furniture/equipment,0
46,male,skilled,OWN,little/rich,1343,6,car,0
26,male,skilled,OWN,moderate/little,1382,24,business,0
24,female,skilled,OWN,little/moderate,874,15,domestic appliances,0
29,male,unskilled,OWN,little/little,3590,12,furniture/equipment,0
40,female,skilled,OWN,rich/moderate,1322,11,car,0
36,male,highly skilled,FREE,little/little,1940,18,radio/TV,0
28,male,skilled,OWN,little/little,3595,36,radio/TV,0
27,male,highly skilled,FREE,little/little,1422,9,car,1
36,male,skilled,OWN,little/moderate,6742,30,radio/TV,0
38,male,highly skilled,OWN,little/little,7814,24,car,0
48,male,skilled,FREE,little/moderate,9277,24,car,0
36,male,skilled,OWN,little/moderate,2181,30,car,0
65,female,unskilled,OWN,little/little,1098,18,radio/TV,0
43,male,skilled,OWN,little/moderate,4057,24,furniture/equipment,1
53,female,skilled,OWN,little/little,795,12,education,1
34,male,skilled,OWN,little/moderate,2825,24,business,0
23,male,skilled,OWN,little/moderate,15672,48,business,1
34,male,highly skilled,OWN,little/little,6614,36,car,0
40,male,skilled,RENT,little/moderate,7824,28,car,0
43,male,highly skilled,OWN,little/little,2442,27,business,0
46,male,skilled,OWN,little/little,1829,15,radio/TV,0
38,male,unskilled,OWN,little/little,2171,12,car,0
34,male,skilled,OWN,little/moderate,5800,36,car,0
29,male,skilled,OWN,little/moderate,1169,18,radio/TV,0
31,male,highly skilled,OWN,little/moderate,8947,36,car,0
28,female,highly skilled,RENT,little/little,2606,21,radio/TV,0
35,female,skilled,OWN,rich/moderate,1592,12,furniture/equipment,0
33,female,unskilled,RENT,little/moderate,2186,15,furniture/equipment,0
42,male,skilled,OWN,little/little,4153,18,furniture/equipment,1
43,male,skilled,RENT,little/little,2625,16,car,1
44,male,skilled,OWN,little/moderate,3485,20,car,0
42,male,skilled,FREE,little/moderate,10477,36,car,0
40,male,skilled,RENT,little/moderate,1386,15,radio/TV,0
36,male,highly skilled,OWN,little/little,1278,24,radio/TV,0
20,male,highly skilled,RENT,little/little,1107,12,radio/TV,0
24,male,unskilled,OWN,little/little,3763,21,car,0
27,male,skilled,OWN,little/moderate,3711,36,education,0
46,female,unskilled,OWN,little/little,3594,15,car,0
33,female,unskilled,OWN,little/moderate,3195,9,car,0
34,female,skilled,OWN,little/little,4454,36,radio/TV,0
25,female,unskilled,OWN,little/moderate,4736,24,furniture/equipment,1
25,female,skilled,OWN,little/moderate,2991,30,radio/TV,0
28,male,skilled,OWN,rich/moderate,2142,11,business,0
31,male,skilled,RENT,little/little,3161,24,business,1
32,female,highly skilled,OWN,little/moderate,18424,48,vacation/others,1
32,male,skilled,OWN,moderate/moderate,2848,10,car,0
68,male,highly skilled,OWN,little/little,14896,6,car,1
33,male,skilled,OWN,moderate/little,2359,24,furniture/equipment,1
39,male,highly skilled,RENT,little/little,3345,24,furniture/equipment,1
28,female,skilled,OWN,little/little,1817,18,furniture/equipment,0
37,male,highly skilled,OWN,quite rich/moderate,12749,48,radio/TV,0
22,female,skilled,RENT,little/little,1366,9,radio/TV,1
30,male,skilled,RENT,little/moderate,2002,12,car,0
55,male,skilled,OWN,little/little,6872,24,furniture/equipment,1
46,male,skilled,OWN,little/little,697,12,car,1
21,female,skilled,RENT,little/little,1049,18,furniture/equipment,0
39,male,skilled,FREE,little/little,10297,48,car,1
58,male,skilled,OWN,little/moderate,1867,30,radio/TV,0
43,male,unskilled,OWN,little/little,1344,12,car,0
24,male,unskilled,OWN,little/little,1747,24,furniture/equipment,0
22,female,skilled,OWN,little/moderate,1670,9,radio/TV,1
30,male,skilled,OWN,little/little,1224,9,car,0
42,male,skilled,OWN,quite rich/moderate,522,12,radio/TV,0
23,female,skilled,OWN,little/little,1498,12,radio/TV,0
30,male,highly skilled,OWN,moderate/moderate,1919,30,radio/TV,1
28,female,unskilled,OWN,little/rich,745,9,radio/TV,1
30,male,highly skilled,RENT,little/moderate,2063,6,radio/TV,0
42,male,skilled,FREE,little/moderate,6288,60,education,1
46,male,highly skilled,OWN,little/moderate,6842,24,car,0
45,male,highly skilled,OWN,little/moderate,3527,12,car,0
31,male,unskilled,OWN,little/little,1546,10,car,0
31,male,skilled,OWN,little/moderate,929,24,furniture/equipment,0
42,male,unskilled,OWN,little/little,1455,4,car,0
46,female,skilled,RENT,little/little,1845,15,furniture/equipment,0
30,female,skilled,OWN,quite rich/moderate,8358,48,car,0
30,male,skilled,FREE,quite rich/little,3349,24,furniture/equipment,1
38,male,highly skilled,OWN,little/moderate,2859,12,car,0
43,male,unskilled,OWN,little/little,1533,18,furniture/equipment,1
31,male,skilled,OWN,moderate/moderate,3621,24,radio/TV,1
40,male,unskilled,OWN,little/moderate,3590,18,business,0
24,male,skilled,OWN,little/little,2145,36,business,1
28,female,skilled,RENT,quite rich/moderate,4113,24,car,1
26,female,highly skilled,OWN,little/little,10974,36,furniture/equipment,1
